Id          Name                                                                                                                                                                                                                                                             Category                                                                                                                                                                                                                                                                                                                                                                                                                                                           IsHidden
----------- ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ --------
          1 A20                                                                                                                                                                                                                                                              Headphones                                                                                                                                                                                                                                                                                                                                                                                                                                                                0
          2 A3                                                                                                                                                                                                                                                               Accessories                                                                                                                                                                                                                                                                                                                                                                                                                                                               0
          4 B3                                                                                                                                                                                                                                                               Accessories                                                                                                                                                                                                                                                                                                                                                                                                                                                               0
          5 BH                                                                                                                                                                                                                                                               Accessories                                                                                                                                                                                                                                                                                                                                                                                                                                                               0
         20 DA3                                                                                                                                                                                                                                                              Mice                                                                                                                                                                                                                                                                                                                                                                                                                                                                      0
         26 X3                                                                                                                                                                                                                                                               Mice                                                                                                                                                                                                                                                                                                                                                                                                                                                                      0
         30 Nintendo                                                                                                                                                                                                                                                         Mousepad                                                                                                                                                                                                                                                                                                                                                                                                                                                                  0

(7 rows affected)
